,residual,county_state
12077,1212.5531,"Liberty County, Florida"
12079,35.296143,"Madison County, Florida"
12081,-69.114426,"Manatee County, Florida"
12083,-50.36491,"Marion County, Florida"
12085,-67.54997,"Martin County, Florida"
12086,131.54407,"Miami-Dade County, Florida"
12087,-55.549553,"Monroe County, Florida"
12089,-42.097435,"Nassau County, Florida"
12091,-35.974472,"Okaloosa County, Florida"
12093,-334.10925,"Okeechobee County, Florida"
12095,-519.47015,"Orange County, Florida"
12097,-618.041,"Osceola County, Florida"
12099,-214.95743,"Palm Beach County, Florida"
12101,-137.75107,"Pasco County, Florida"
12103,-263.57275,"Pinellas County, Florida"
12105,-169.79471,"Polk County, Florida"
12107,10.901779,"Putnam County, Florida"
12109,-130.73325,"St. Johns County, Florida"
12111,-83.414116,"St. Lucie County, Florida"
12113,-9.955528,"Santa Rosa County, Florida"
12115,-21.942474,"Sarasota County, Florida"
12117,-354.44073,"Seminole County, Florida"
12119,97.93399,"Sumter County, Florida"
12121,175.43129,"Suwannee County, Florida"
12123,-32.85407,"Taylor County, Florida"
12125,-1194.1544,"Union County, Florida"
12127,-62.528503,"Volusia County, Florida"
12129,-12.369507,"Wakulla County, Florida"
12131,40.158646,"Walton County, Florida"
12133,-99.61894,"Washington County, Florida"
13001,246.39047,"Appling County, Georgia"
13003,-272.47687,"Atkinson County, Georgia"
13005,241.0827,"Bacon County, Georgia"
13007,562.6478,"Baker County, Georgia"
13009,238.75677,"Baldwin County, Georgia"
13011,80.76956,"Banks County, Georgia"
13013,34.241516,"Barrow County, Georgia"
13015,111.1369,"Bartow County, Georgia"
13017,-182.84113,"Ben Hill County, Georgia"
13019,-180.92169,"Berrien County, Georgia"
13021,-350.39365,"Bibb County, Georgia"
13023,80.477005,"Bleckley County, Georgia"
13025,110.71122,"Brantley County, Georgia"
13027,-36.467834,"Brooks County, Georgia"
13029,-114.18436,"Bryan County, Georgia"
13031,-182.54955,"Bulloch County, Georgia"
13033,-9.6683655,"Burke County, Georgia"
13035,305.93237,"Butts County, Georgia"
13037,375.05164,"Calhoun County, Georgia"
13039,-68.150856,"Camden County, Georgia"
13043,-279.30164,"Candler County, Georgia"
13045,90.67503,"Carroll County, Georgia"
13047,81.56772,"Catoosa County, Georgia"
13049,-255.90825,"Charlton County, Georgia"
13051,-276.039,"Chatham County, Georgia"
13053,-408.46265,"Chattahoochee County, Georgia"
13055,-279.6512,"Chattooga County, Georgia"
13057,50.618484,"Cherokee County, Georgia"
13059,-228.2434,"Clarke County, Georgia"
13061,157.64136,"Clay County, Georgia"
