,residual,county_state
06047,-272.79767,"Merced County, California"
06049,-49.52584,"Modoc County, California"
06051,-12.432785,"Mono County, California"
06053,-429.72482,"Monterey County, California"
06055,-119.23013,"Napa County, California"
06057,-25.132122,"Nevada County, California"
06059,-165.63557,"Orange County, California"
06061,42.509434,"Placer County, California"
06063,44.349293,"Plumas County, California"
06065,178.72469,"Riverside County, California"
06067,-71.58975,"Sacramento County, California"
06069,-50.83396,"San Benito County, California"
06071,79.6728,"San Bernardino County, California"
06073,-64.550415,"San Diego County, California"
06075,-1474.7096,"San Francisco County, California"
06077,-68.41238,"San Joaquin County, California"
06079,-11.956078,"San Luis Obispo County, California"
06081,-36.169006,"San Mateo County, California"
06083,244.69409,"Santa Barbara County, California"
06085,-95.59223,"Santa Clara County, California"
06087,-115.45525,"Santa Cruz County, California"
06089,-12.115067,"Shasta County, California"
06091,-71.743614,"Sierra County, California"
06093,26.798347,"Siskiyou County, California"
06095,-36.1196,"Solano County, California"
06097,-226.25449,"Sonoma County, California"
06099,11.235031,"Stanislaus County, California"
06101,-101.24919,"Sutter County, California"
06103,-95.73362,"Tehama County, California"
06105,18.375078,"Trinity County, California"
06107,-628.5587,"Tulare County, California"
06109,-11.169585,"Tuolumne County, California"
06111,-544.83215,"Ventura County, California"
06113,94.03636,"Yolo County, California"
06115,-141.43326,"Yuba County, California"
08001,3.0015564,"Adams County, Colorado"
08003,-95.45334,"Alamosa County, Colorado"
08005,277.91458,"Arapahoe County, Colorado"
08007,-143.27182,"Archuleta County, Colorado"
08009,302.93066,"Baca County, Colorado"
08011,-137.43515,"Bent County, Colorado"
08013,-83.64194,"Boulder County, Colorado"
08014,32.64267,"Broomfield County, Colorado"
08015,57.418213,"Chaffee County, Colorado"
08017,-21.263824,"Cheyenne County, Colorado"
08019,-64.57912,"Clear Creek County, Colorado"
08021,-79.86708,"Conejos County, Colorado"
08023,39.29931,"Costilla County, Colorado"
08025,57.953186,"Crowley County, Colorado"
08027,-19.614838,"Custer County, Colorado"
08029,45.45253,"Delta County, Colorado"
08031,-392.805,"Denver County, Colorado"
08033,-56.798622,"Dolores County, Colorado"
08035,-81.075485,"Douglas County, Colorado"
08037,733.49194,"Eagle County, Colorado"
08039,-4.5233154,"Elbert County, Colorado"
08041,-2.6825562,"El Paso County, Colorado"
08043,-339.19763,"Fremont County, Colorado"
08045,-147.8881,"Garfield County, Colorado"
08047,-127.79341,"Gilpin County, Colorado"
08049,-105.71553,"Grand County, Colorado"
08051,886.92615,"Gunnison County, Colorado"
08053,293.3106,"Hinsdale County, Colorado"
08055,-56.90117,"Huerfano County, Colorado"
08057,-413.47794,"Jackson County, Colorado"
08059,60.02675,"Jefferson County, Colorado"
08061,-287.2639,"Kiowa County, Colorado"
08063,163.17223,"Kit Carson County, Colorado"
08065,38.61728,"Lake County, Colorado"
08067,-100.70193,"La Plata County, Colorado"
08069,-37.002167,"Larimer County, Colorado"
08071,-116.83376,"Las Animas County, Colorado"
08073,-736.792,"Lincoln County, Colorado"
08075,2041.2002,"Logan County, Colorado"
08077,-113.17682,"Mesa County, Colorado"
08079,119.92891,"Mineral County, Colorado"
08081,-138.62186,"Moffat County, Colorado"
08083,-24.257668,"Montezuma County, Colorado"
08085,126.07106,"Montrose County, Colorado"
08087,1418.4705,"Morgan County, Colorado"
08089,-56.367393,"Otero County, Colorado"
08091,94.77713,"Ouray County, Colorado"
08093,-24.371758,"Park County, Colorado"
08095,-38.79706,"Phillips County, Colorado"
08097,-88.163086,"Pitkin County, Colorado"
08099,-427.1868,"Prowers County, Colorado"
08101,-62.837036,"Pueblo County, Colorado"
08103,-153.45132,"Rio Blanco County, Colorado"
08105,-137.5201,"Rio Grande County, Colorado"
08107,3.6784515,"Routt County, Colorado"
08109,-13.634125,"Saguache County, Colorado"
08111,60.65168,"San Juan County, Colorado"
08113,93.76997,"San Miguel County, Colorado"
08115,-125.96913,"Sedgwick County, Colorado"
08117,121.16904,"Summit County, Colorado"
08119,-13.980934,"Teller County, Colorado"
08121,-59.10231,"Washington County, Colorado"
08123,402.66736,"Weld County, Colorado"
08125,-689.5132,"Yuma County, Colorado"
09001,659.68384,"Fairfield County, Connecticut"
09003,-442.40448,"Hartford County, Connecticut"
09005,394.63318,"Litchfield County, Connecticut"
09007,195.33179,"Middlesex County, Connecticut"
09009,229.33801,"New Haven County, Connecticut"
09011,0.7263489,"New London County, Connecticut"
09013,-2.5123901,"Tolland County, Connecticut"
09015,-73.36597,"Windham County, Connecticut"
10001,-190.69806,"Kent County, Delaware"
10003,-694.691,"New Castle County, Delaware"
10005,1414.5293,"Sussex County, Delaware"
12001,103.355385,"Alachua County, Florida"
12003,-93.75071,"Baker County, Florida"
12005,-113.702034,"Bay County, Florida"
12007,-20.860718,"Bradford County, Florida"
12009,-195.10156,"Brevard County, Florida"
12011,-341.49557,"Broward County, Florida"
12013,118.88336,"Calhoun County, Florida"
12015,106.30578,"Charlotte County, Florida"
12017,72.59891,"Citrus County, Florida"
12019,-45.8609,"Clay County, Florida"
12021,-75.52214,"Collier County, Florida"
12023,-7.632416,"Columbia County, Florida"
12027,-141.03474,"DeSoto County, Florida"
12029,-105.63974,"Dixie County, Florida"
12031,-114.353134,"Duval County, Florida"
12033,143.21634,"Escambia County, Florida"
12035,17.053612,"Flagler County, Florida"
12037,-184.84389,"Franklin County, Florida"
12039,-61.071594,"Gadsden County, Florida"
12041,-91.54049,"Gilchrist County, Florida"
12043,-132.09753,"Glades County, Florida"
12045,-786.6811,"Gulf County, Florida"
12047,726.7769,"Hamilton County, Florida"
12049,-297.57913,"Hardee County, Florida"
12051,432.66916,"Hendry County, Florida"
12053,-97.764824,"Hernando County, Florida"
12055,-12.779686,"Highlands County, Florida"
12057,-285.43585,"Hillsborough County, Florida"
12059,-93.856445,"Holmes County, Florida"
12061,-102.605804,"Indian River County, Florida"
12063,50.241165,"Jackson County, Florida"
12065,-121.215805,"Jefferson County, Florida"
12067,-151.72095,"Lafayette County, Florida"
12069,-181.92607,"Lake County, Florida"
12071,20.477615,"Lee County, Florida"
12073,-132.53464,"Leon County, Florida"
12075,-50.26899,"Levy County, Florida"
12077,1064.538,"Liberty County, Florida"
12079,35.67157,"Madison County, Florida"
12081,-61.014847,"Manatee County, Florida"
12083,-79.53299,"Marion County, Florida"
12085,-43.278442,"Martin County, Florida"
12086,136.24445,"Miami-Dade County, Florida"
12087,-81.48614,"Monroe County, Florida"
12089,-37.337616,"Nassau County, Florida"
12091,-4.6529922,"Okaloosa County, Florida"
12093,-261.86368,"Okeechobee County, Florida"
12095,-544.02783,"Orange County, Florida"
12097,-504.78815,"Osceola County, Florida"
12099,-152.9715,"Palm Beach County, Florida"
12101,-181.62698,"Pasco County, Florida"
12103,-158.65413,"Pinellas County, Florida"
12105,-148.27036,"Polk County, Florida"
12107,21.834732,"Putnam County, Florida"
12109,-109.47556,"St. Johns County, Florida"
12111,-91.280815,"St. Lucie County, Florida"
12113,0.821846,"Santa Rosa County, Florida"
12115,-69.93793,"Sarasota County, Florida"
12117,-299.77173,"Seminole County, Florida"
12119,87.44716,"Sumter County, Florida"
12121,197.6862,"Suwannee County, Florida"
12123,-88.01552,"Taylor County, Florida"
12125,-797.6942,"Union County, Florida"
12127,-31.184586,"Volusia County, Florida"
12129,9.413742,"Wakulla County, Florida"
12131,3.5496597,"Walton County, Florida"
12133,-119.22398,"Washington County, Florida"
13001,255.58746,"Appling County, Georgia"
13003,-86.58296,"Atkinson County, Georgia"
13005,252.52295,"Bacon County, Georgia"
13007,590.13446,"Baker County, Georgia"
13009,228.98993,"Baldwin County, Georgia"
13011,88.37169,"Banks County, Georgia"
13013,49.972473,"Barrow County, Georgia"
13015,97.891174,"Bartow County, Georgia"
13017,-164.03656,"Ben Hill County, Georgia"
13019,-152.11508,"Berrien County, Georgia"
13021,-228.112,"Bibb County, Georgia"
13023,85.95662,"Bleckley County, Georgia"
13025,138.5835,"Brantley County, Georgia"
13027,19.232452,"Brooks County, Georgia"
13029,-28.078812,"Bryan County, Georgia"
13031,-220.9882,"Bulloch County, Georgia"
13033,80.75745,"Burke County, Georgia"
13035,388.25452,"Butts County, Georgia"
13037,454.30518,"Calhoun County, Georgia"
13039,-45.269463,"Camden County, Georgia"
13043,-212.83783,"Candler County, Georgia"
13045,81.48889,"Carroll County, Georgia"
13047,36.415085,"Catoosa County, Georgia"
13049,-221.3055,"Charlton County, Georgia"
13051,-252.4091,"Chatham County, Georgia"
13053,-1251.7935,"Chattahoochee County, Georgia"
13055,-304.3214,"Chattooga County, Georgia"
13057,62.566284,"Cherokee County, Georgia"
13059,-225.12514,"Clarke County, Georgia"
13061,85.74579,"Clay County, Georgia"
13063,-710.8318,"Clayton County, Georgia"
13065,414.5022,"Clinch County, Georgia"
13067,-186.75824,"Cobb County, Georgia"
13069,32.5307,"Coffee County, Georgia"
13071,91.53128,"Colquitt County, Georgia"
13073,-25.971588,"Columbia County, Georgia"
13075,-74.63075,"Cook County, Georgia"
13077,-45.59395,"Coweta County, Georgia"
13079,11.134048,"Crawford County, Georgia"
13081,298.87054,"Crisp County, Georgia"
13083,41.939354,"Dade County, Georgia"
13085,282.4858,"Dawson County, Georgia"
13087,-138.71042,"Decatur County, Georgia"
13089,-249.2854,"DeKalb County, Georgia"
13091,-294.72797,"Dodge County, Georgia"
13093,562.7462,"Dooly County, Georgia"
13095,1473.7593,"Dougherty County, Georgia"
13097,-24.571167,"Douglas County, Georgia"
13099,1853.574,"Early County, Georgia"
13101,-274.23828,"Echols County, Georgia"
13103,-130.80157,"Effingham County, Georgia"
13105,-228.02846,"Elbert County, Georgia"
13107,-285.82144,"Emanuel County, Georgia"
13109,-825.56335,"Evans County, Georgia"
13111,85.59949,"Fannin County, Georgia"
13113,-233.37552,"Fayette County, Georgia"
13115,-326.20056,"Floyd County, Georgia"
13117,-274.98682,"Forsyth County, Georgia"
13119,-93.87547,"Franklin County, Georgia"
13121,-53.294952,"Fulton County, Georgia"
13123,212.713,"Gilmer County, Georgia"
13125,-47.505367,"Glascock County, Georgia"
13127,-260.88348,"Glynn County, Georgia"
13129,-258.94806,"Gordon County, Georgia"
13131,-132.86185,"Grady County, Georgia"
13133,-22.572784,"Greene County, Georgia"
13135,-312.9008,"Gwinnett County, Georgia"
13137,523.1969,"Habersham County, Georgia"
13139,607.39966,"Hall County, Georgia"
13141,1078.3481,"Hancock County, Georgia"
13143,-12.358582,"Haralson County, Georgia"
13145,16.568375,"Harris County, Georgia"
13147,-119.03579,"Hart County, Georgia"
13149,15.542236,"Heard County, Georgia"
13151,-71.00244,"Henry County, Georgia"
13153,-204.32213,"Houston County, Georgia"
13155,-38.04503,"Irwin County, Georgia"
13157,-51.331833,"Jackson County, Georgia"
13159,-22.968933,"Jasper County, Georgia"
13161,-178.3337,"Jeff Davis County, Georgia"
13163,-539.6174,"Jefferson County, Georgia"
13165,-366.60126,"Jenkins County, Georgia"
13167,224.35559,"Johnson County, Georgia"
13169,-139.12183,"Jones County, Georgia"
13171,-142.01512,"Lamar County, Georgia"
13173,-136.15735,"Lanier County, Georgia"
13175,-196.37439,"Laurens County, Georgia"
13177,990.399,"Lee County, Georgia"
13179,191.30734,"Liberty County, Georgia"
13181,-129.75418,"Lincoln County, Georgia"
13183,-202.62231,"Long County, Georgia"
13185,3.920456,"Lowndes County, Georgia"
13187,169.55783,"Lumpkin County, Georgia"
13189,-106.06157,"McDuffie County, Georgia"
13191,-279.67642,"McIntosh County, Georgia"
13193,67.46649,"Macon County, Georgia"
13195,-80.57797,"Madison County, Georgia"
13197,42.74289,"Marion County, Georgia"
13199,-64.48099,"Meriwether County, Georgia"
13201,376.78403,"Miller County, Georgia"
13205,1278.5638,"Mitchell County, Georgia"
13207,92.15158,"Monroe County, Georgia"
13209,-87.53935,"Montgomery County, Georgia"
13211,-40.226196,"Morgan County, Georgia"
13213,-213.14479,"Murray County, Georgia"
13215,-32.916306,"Muscogee County, Georgia"
13217,-166.82219,"Newton County, Georgia"
13219,-167.37047,"Oconee County, Georgia"
13221,158.261,"Oglethorpe County, Georgia"
13223,-83.22154,"Paulding County, Georgia"
13225,-93.10071,"Peach County, Georgia"
13227,42.995987,"Pickens County, Georgia"
13229,219.19792,"Pierce County, Georgia"
13231,82.72252,"Pike County, Georgia"
13233,-165.2736,"Polk County, Georgia"
13235,-194.01901,"Pulaski County, Georgia"
13237,-18.83319,"Putnam County, Georgia"
13239,-61.2782,"Quitman County, Georgia"
13241,18.098518,"Rabun County, Georgia"
13243,1603.5874,"Randolph County, Georgia"
13245,-104.18948,"Richmond County, Georgia"
13247,-173.27151,"Rockdale County, Georgia"
13249,52.70633,"Schley County, Georgia"
13251,-275.59418,"Screven County, Georgia"
13253,104.634186,"Seminole County, Georgia"
13255,35.37961,"Spalding County, Georgia"
13257,224.03862,"Stephens County, Georgia"
13259,-1167.1663,"Stewart County, Georgia"
13261,793.2069,"Sumter County, Georgia"
13263,9.476196,"Talbot County, Georgia"
13265,-344.78683,"Taliaferro County, Georgia"
13267,-624.4717,"Tattnall County, Georgia"
13269,-191.08768,"Taylor County, Georgia"
13271,-574.82983,"Telfair County, Georgia"
13273,1850.5212,"Terrell County, Georgia"
13275,244.00699,"Thomas County, Georgia"
13277,-52.914276,"Tift County, Georgia"
13279,-148.65457,"Toombs County, Georgia"
13281,-1.7077026,"Towns County, Georgia"
13283,-318.77173,"Treutlen County, Georgia"
13285,-226.05798,"Troup County, Georgia"
13287,721.79565,"Turner County, Georgia"
13289,-310.28754,"Twiggs County, Georgia"
13291,110.98306,"Union County, Georgia"
13293,577.1073,"Upson County, Georgia"
13295,-97.45902,"Walker County, Georgia"
13297,-101.42793,"Walton County, Georgia"
13299,123.54727,"Ware County, Georgia"
13301,-390.78705,"Warren County, Georgia"
13303,-204.2562,"Washington County, Georgia"
13305,-203.17665,"Wayne County, Georgia"
13307,-6.907135,"Webster County, Georgia"
13309,-2189.8125,"Wheeler County, Georgia"
13311,224.2501,"White County, Georgia"
13313,-307.2,"Whitfield County, Georgia"
13315,443.18146,"Wilcox County, Georgia"
13317,-55.785675,"Wilkes County, Georgia"
13319,-449.59616,"Wilkinson County, Georgia"
13321,611.3331,"Worth County, Georgia"
15001,-102.08421,"Hawaii County, Hawaii"
15003,-200.45071,"Honolulu County, Hawaii"
15007,-53.210957,"Kauai County, Hawaii"
15009,-85.12123,"Maui County, Hawaii"
16001,-14.151535,"Ada County, Idaho"
16003,101.21182,"Adams County, Idaho"
16005,-79.20051,"Bannock County, Idaho"
16007,4.9185314,"Bear Lake County, Idaho"
16009,-40.31369,"Benewah County, Idaho"
16011,-187.4934,"Bingham County, Idaho"
16013,1970.188,"Blaine County, Idaho"
16015,-15.661292,"Boise County, Idaho"
16017,-52.338974,"Bonner County, Idaho"
16019,-84.90283,"Bonneville County, Idaho"
16021,-53.209007,"Boundary County, Idaho"
16023,-32.05712,"Butte County, Idaho"
16025,131.1109,"Camas County, Idaho"
16027,-48.315323,"Canyon County, Idaho"
16029,-80.981514,"Caribou County, Idaho"
16031,-99.56513,"Cassia County, Idaho"
16033,-998.4681,"Clark County, Idaho"
16035,-24.902822,"Clearwater County, Idaho"
16037,57.3459,"Custer County, Idaho"
16039,-277.07632,"Elmore County, Idaho"
16041,-66.312294,"Franklin County, Idaho"
16043,-158.96379,"Fremont County, Idaho"
16045,27.750393,"Gem County, Idaho"
16047,-145.96696,"Gooding County, Idaho"
16049,-13.7547035,"Idaho County, Idaho"
16051,-38.58567,"Jefferson County, Idaho"
16053,114.34256,"Jerome County, Idaho"
16055,-11.360195,"Kootenai County, Idaho"
16057,-24.917477,"Latah County, Idaho"
16059,11.588151,"Lemhi County, Idaho"
16061,-45.20106,"Lewis County, Idaho"
16063,345.6799,"Lincoln County, Idaho"
16065,69.644485,"Madison County, Idaho"
16067,-270.76828,"Minidoka County, Idaho"
16069,102.24494,"Nez Perce County, Idaho"
16071,-53.22562,"Oneida County, Idaho"
16073,-287.50235,"Owyhee County, Idaho"
16075,-75.95289,"Payette County, Idaho"
16077,-284.6729,"Power County, Idaho"
16079,-41.13885,"Shoshone County, Idaho"
16081,-133.10562,"Teton County, Idaho"
16083,189.23546,"Twin Falls County, Idaho"
16085,-16.289522,"Valley County, Idaho"
16087,100.054085,"Washington County, Idaho"
17001,-89.98074,"Adams County, Illinois"
17003,-226.90776,"Alexander County, Illinois"
17005,-115.79596,"Bond County, Illinois"
17007,165.12848,"Boone County, Illinois"
17009,-692.5509,"Brown County, Illinois"
17011,-107.79562,"Bureau County, Illinois"
17013,-107.32226,"Calhoun County, Illinois"
17015,8.308159,"Carroll County, Illinois"
17017,32.535706,"Cass County, Illinois"
17019,-73.30525,"Champaign County, Illinois"
17021,-57.000328,"Christian County, Illinois"
17023,-56.867046,"Clark County, Illinois"
17025,-48.298794,"Clay County, Illinois"
17027,156.97568,"Clinton County, Illinois"
17029,-148.52455,"Coles County, Illinois"
17031,343.4879,"Cook County, Illinois"
17033,-184.72772,"Crawford County, Illinois"
17035,-10.957314,"Cumberland County, Illinois"
