fips,LND110210,POP060210
13283,199.44,34.5
13285,413.99,161.9
13287,285.39,31.3
13289,358.4,25.2
13291,321.93,66.3
13293,323.44,84
13295,446.38,154
13297,325.68,257.2
13299,892.46,40.7
13301,284.3,20.5
13303,678.45,31.2
13305,641.78,46.9
13307,209.12,13.4
13309,295.48,25.1
13311,240.69,112.8
13313,290.46,353.2
13315,377.71,24.5
13317,469.49,22.6
13319,447.31,21.4
13321,570.7,38
15000,6422.63,211.8
15001,4028.42,45.9
15003,600.74,1586.7
15005,11.99,7.5
15007,619.96,108.2
15009,1161.52,133.3
16000,82643.12,19
16001,1052.58,372.8
16003,1363.06,2.9
16005,1111.99,74.5
16007,974.79,6.1
16009,776.62,12
16011,2093.98,21.8
16013,2643.59,8.1
16015,1899.24,3.7
16017,1734.57,23.6
16019,1866.08,55.9
16021,1268.56,8.6
16023,2231.67,1.3
16025,1074.49,1
16027,587.37,321.6
16029,1764.15,3.9
16031,2565.08,8.9
16033,1764.19,0.6
16035,2457.27,3.6
16037,4920.94,0.9
16039,3074.74,8.8
16041,663.65,19.3
16043,1863.53,7.1
16045,560.9,29.8
16047,728.97,21.2
16049,8477.35,1.9
16051,1093.5,23.9
16053,597.19,37.5
16055,1244.13,111.3
16057,1076,34.6
16059,4563.39,1.7
16061,478.8,8
16063,1201.41,4.3
16065,469.21,80
16067,757.59,26.5
16069,848.09,46.3
16071,1200.06,3.6
16073,7665.51,1.5
16075,406.87,55.6
16077,1404.24,5.6
16079,2629.67,4.9
16081,449.46,22.6
16083,1921.21,40.2
16085,3664.52,2.7
16087,1452.98,7
17000,55518.93,231.1
17001,855.2,78.5
17003,235.51,35
17005,380.28,46.7
17007,280.72,193
17009,305.61,22.7
17011,869.03,40.2
17013,253.83,20
17015,444.81,34.6
17017,375.82,36.3
17019,996.27,201.8
17021,709.38,49.1
17023,501.42,32.6
17025,468.32,29.5
17027,474.09,79.7
17029,508.29,106
17031,945.33,5495.1
17033,443.63,44.7
17035,346.02,31.9
17037,631.31,166.6
17039,397.51,41.7
17041,416.67,48
17043,327.5,2799.8
17045,623.37,29.8
17047,222.42,30.2
17049,478.78,71.5
17051,716.48,30.9
17053,485.62,29
17055,408.89,96.8
17057,865.6,42.8
17059,323.07,17.3
17061,543.02,25.6
17063,418.04,119.8
17065,434.67,19.5
17067,793.73,24.1
17069,177.53,24.3
17071,378.87,19.3
17073,822.99,61.3
17075,1117.32,26.6
17077,584.08,103.1
17079,494.51,19.6
17081,571.17,68
17083,369.27,62.2
17085,601.09,37.7
17087,343.92,36.6
17089,520.06,990.8
17091,676.56,167.7
17093,320.34,358.2
17095,716.4,73.9
17097,443.67,1585.6
17099,1135.12,100.4
17101,372.18,45.2
17103,724.9,49.7
17105,1044.29,37.3
17107,618.06,49
17109,589.41,55.3
17111,603.17,511.9
17113,1183.38,143.3
17115,580.69,190.8
17117,862.91,55.4
17119,715.58,376.3
17121,572.36,68.9
17123,386.79,32.7
17125,539.24,27.2
17127,237.22,65
17129,314.44,40.4
17131,561.2,29.3
17133,385.01,85.6
17135,703.69,42.8
17137,568.79,62.5
17139,335.94,44.2
17141,758.57,70.5
17143,619.21,301.2
17145,441.76,50.6
17147,439.2,38.1
17149,831.38,19.8
17151,368.77,12.1
17153,199.19,30.9
